Entity,Code,Year,"GDP per capita, PPP (constant 2011 international $)",Life satisfaction in Cantril Ladder (World Happiness Report 2019)
Sri Lanka,LKA,2017,11669.0766785045,4.330945492
Ukraine,UKR,2017,7894.39292578581,4.311067104
Democratic Republic of Congo,COD,2017,808.133213366763,4.311033249
Bangladesh,BGD,2017,3523.98385062592,4.309771061
Armenia,ARM,2017,8787.57993972036,4.287736416
Mozambique,MOZ,2017,1136.10256446235,4.279863358
Ethiopia,ETH,2017,1729.9266389468,4.180315495
Myanmar,MMR,2017,5591.5968799618,4.154341698
Tunisia,TUN,2017,10849.2973861625,4.124342918
Gambia,GMB,2017,1561.76684287663,4.117938995
Sierra Leone,SLE,2017,1390.30026748482,4.089562416
Madagascar,MDG,2017,1416.43950728464,4.078620434
India,IND,2017,6426.67440634599,4.046111107
Uganda,UGA,2017,1697.70651058028,4.000516891
Zambia,ZMB,2017,3689.25082617978,3.932777405
Egypt,EGY,2017,10550.2064956646,3.929344177
Haiti,HTI,2017,1653.17250369424,3.823865652
Lesotho,LSO,2017,2851.15275428862,3.795300722
Zimbabwe,ZWE,2017,1899.77497716634,3.63830018
Botswana,BWA,2017,15807.3735945626,3.504881144
Central African Republic,CAF,2017,661.239967689311,3.475862026
Malawi,MWI,2017,1095.04208875801,3.416862965
Tanzania,TZA,2017,2683.3040235534,3.347121239
Rwanda,RWA,2017,1854.21079087361,3.10837388
Afghanistan,AFG,2017,1803.98748708124,2.66171813
Dominica,DMA,2017,9673.36696180547,
Bhutan,BTN,2017,8708.59712072611,
Fiji,FJI,2017,8702.97532202106,
Belize,BLZ,2017,7824.36245892342,
Eswatini,SWZ,2017,7738.97456607734,
Guyana,GUY,2017,7435.0470900237,
Brunei,BRN,2017,71809.250580867,
Burundi,BDI,2017,702.2253130438,
Timor,TLS,2017,6570.10161939798,
Cape Verde,CPV,2017,6222.55416600772,
Samoa,WSM,2017,6021.55742363963,
Angola,AGO,2017,5819.49497145261,
San Marino,SMR,2017,56861.4697322851,
Tonga,TON,2017,5425.62062501365,
Sudan,SDN,2017,4466.50675475659,
Papua New Guinea,PNG,2017,3823.19379963882,
Marshall Islands,MHL,2017,3819.20211986181,
Oman,OMN,2017,37960.7091885335,
Tuvalu,TUV,2017,3575.10382120986,
Micronesia (country),FSM,2017,3299.46385570395,
Sao Tome and Principe,STP,2017,3052.71374319686,
Vanuatu,VUT,2017,2921.90867553046,
Bahamas,BHS,2017,27717.8472975209,
Malaysia,MYS,2017,26808.1640645679,
Seychelles,SYC,2017,26382.2873463186,
Saint Kitts and Nevis,KNA,2017,24654.3854011216,
Equatorial Guinea,GNQ,2017,22604.8732922993,
